"ID";"Деталь";"Артикул";"Ссылка";"Минимум_заказа";"Потребность_1";"Потребность_4";"Потребность_6";"Покупка_1";"Покупка_4";"Покупка_6";"Цена_1";"Цена_4";"Цена_6";"Расход_1";"Расход_4";"Расход_6";"Остаток";"Склад";"Привоз_Чебоксары";"Статус";"Дата_проверки"
"USB-SRC-BC";"BQ24392RSER";"8003769667";"https://www.chipdip.ru/product/bq24392rser-texas-instruments-8003769667";"2";"1";"4";"6";"2";"4";"6";"150";"150";"110";"300";"600";"660";"644";"Москва";"2026-09-21";"Исследовательский кандидат BC1.2; минимум 2, шаг 1. Не различает DCP/Apple/TomTom; HIGH не разрешает >=1.5A. Детектор ядра теперь изолирован локально";"2026-09-14"
"USB-SRC-CC";"TUSB320LAIRWBR";"8002948931";"https://www.chipdip.ru/product/tusb320lairwbr-texas-instruments-8002948931";"1";"1";"4";"6";"1";"4";"6";"300";"230";"169";"300";"920";"1014";"275";"Москва";"2026-09-21";"Кандидат CC; встроенные Rd несовместимы с прямым подключением к текущей плате с R1/R2. Не выбран для сборки";"2026-09-14"
"USB-INPUT-GATE";"TPS25200DRVR";"8035454964";"https://www.chipdip.ru/product/tps25200drvr-kontrollery-goryachey-zameny-texas-instruments-8035454964";"1";"1";"4";"6";"1";"4";"6";"53";"53";"53";"53";"212";"318";"176";"Москва";"2026-09-20";"Кандидат входного ключа; от 10 — 46 руб, от 100 — 43 руб; WSON-6 с EP. Схема есть, PCB и монтаж не выполнены";"2026-09-14"
"USB-AUX-LDO";"TPS70933DBVR Texas Instruments";"9000996321";"https://www.chipdip.ru/product/tps70933dbvr-stabilizator-napryazheniya-texas-instruments-9000996321";"1";"1";"4";"6";"1";"4";"6";"40";"40";"40";"40";"160";"240";"13816";"Москва";"2026-09-18";"Кандидат U202; от 100 — 33 руб, от 1000 — 30 руб; SOT-23-5. Не заменять на A/B/TP без проверки. Схема без PCB/монтажа";"2026-09-14"
"USB-SRC-PI3";"PI3USB9201ZTAEX";"8052983438";"https://www.chipdip.ru/product/pi3usb9201ztaex-2ghz-2-uqfn2020-12-analog-switches-diodes-8052983438";"1";"1";"4";"6";"1";"4";"6";"380";"380";"380";"380";"1520";"2280";"14";"Не указан";"2026-10-23";"Кандидат BC с I2C, нужен MCU; схема без PCB/монтажа. 5-6 недель; от 10 — 280 руб. Не выбран для серии";"2026-09-14"
"CHG-MCU";"CH32V003F4P6";"9001161624";"https://www.chipdip.ru/product/ch32v003f4p6-mikrokontroller-32-bit-risc-v2a-48mgts-wch-9001161624";"1";"1";"4";"6";"1";"4";"6";"90";"90";"90";"90";"360";"540";"715";"Москва";"2026-09-18";"Кандидат MCU обоих зарядных вариантов, TSSOP20. Карта выводов без схемы/прошивки; от 100 — 81 руб, от 1000 по запросу";"2026-09-14"
"CHG-OC-ONE";"INA300AIDSQR";"8017654261";"https://www.chipdip.ru/product/ina300aidsqr-wson-10-2x2-current-sensing-texas-instruments-8017654261";"1";"1";"4";"6";"1";"4";"6";"370";"370";"370";"370";"1480";"2220";"34";"Не указан, 5-6 недель";"2026-10-23";"Кандидат обнаружения повышенного тока; не ограничитель. Шунт/аппаратный запрет и испытания не выполнены. От 10 — 250 руб";"2026-09-14"
"CHG-OC-LOT";"INA300AIDSQR";"8060314732";"https://www.chipdip.ru/product/ina300aidsqr-texas-instruments-8060314732";"5";"1";"4";"6";"5";"5";"6";"120";"120";"120";"600";"600";"720";"260";"Москва";"2026-09-21";"Альтернатива CHG-OC-ONE, минимум 5. 7 дней; от 15 — 110 руб. Не выбран для серии";"2026-09-14"
"CHG-PERMIT-FF";"SN74LVC1G74DCTR";"9001599903";"https://www.chipdip.ru/product/sn74lvc1g74dctr-trigger-1-elementnyy-texas-instruments-9001599903";"1";"1";"4";"6";"1";"4";"6";"69";"69";"69";"69";"276";"414";"1222";"Москва";"2026-09-18";"Кандидат CHARGE-PERMIT-01; 4 дня; от 15 — 63 руб. Схема без исполнительной цепи и монтажа";"2026-09-14"
"CHG-PERMIT-SUP";"TPS3808G33DBVR";"9000406641";"https://www.chipdip.ru/product/tps3808g33dbvr-supervizor-3.07v-s-texas-instruments-9000406641";"1";"1";"4";"6";"1";"4";"6";"32";"32";"32";"32";"128";"192";"298";"Москва";"2026-09-18";"Кандидат CHARGE-PERMIT-01; 4 дня; от 30 — 28 руб. DBV распиновка отличается от DRV";"2026-09-14"
"CHG-PERMIT-SCHMITT";"SN74LVC2G17DCKR";"9000215534";"https://www.chipdip.ru/product/sn74lvc2g17dckr-sdvoennyy-bufer-s-texas-instruments-9000215534";"1";"1";"4";"6";"1";"4";"6";"45";"45";"45";"45";"180";"270";"39";"Москва";"2026-09-18";"Кандидат CHARGE-PERMIT-01; 4 дня; от 15 — 36 руб. Именно TI, не проверено для клонов";"2026-09-14"
